FullGeoName,LocationID,Public_Health_Jurisdiction,StateDesc,County,Percent_COPD,95% Confidence Interval,Quartile
"CA, Santa Clara",06085,CA,California,Santa Clara,3.3,2.7 - 4.0,3.3 - 6.0
"NM, Los Alamos",35028,NM,New Mexico,Los Alamos,3.3,2.6 - 4.1,3.3 - 6.0
"VA, Falls Church City",51610,VA,Virginia,Falls Church,3.3,2.7 - 4.1,3.3 - 6.0
"CA, San Mateo",06081,CA,California,San Mateo,3.5,2.8 - 4.2,3.3 - 6.0
"MD, Howard",24027,MD,Maryland,Howard,3.5,2.9 - 4.2,3.3 - 6.0
"MD, Montgomery",24031,MD,Maryland,Montgomery,3.5,2.9 - 4.3,3.3 - 6.0
"CA, San Francisco",06075,CA,California,San Francisco,3.6,2.9 - 4.3,3.3 - 6.0
"HI, Honolulu",15003,HI,Hawaii,Honolulu,3.6,3.1 - 4.2,3.3 - 6.0
"VA, Arlington",51013,VA,Virginia,Arlington,3.6,2.9 - 4.5,3.3 - 6.0
"CA, Alameda",06001,CA,California,Alameda,3.7,3.1 - 4.5,3.3 - 6.0
"CO, Douglas",08035,CO,Colorado,Douglas,3.7,3.0 - 4.5,3.3 - 6.0
"VA, Loudoun",51107,VA,Virginia,Loudoun,3.7,3.0 - 4.6,3.3 - 6.0
"MN, Carver",27019,MN,Minnesota,Carver,3.8,3.0 - 4.6,3.3 - 6.0
"MN, Washington",27163,MN,Minnesota,Washington,3.8,3.0 - 4.7,3.3 - 6.0
"NJ, Somerset",34035,NJ,New Jersey,Somerset,3.8,3.1 - 4.6,3.3 - 6.0
"VA, Fairfax",51059,VA,Virginia,Fairfax,3.8,3.1 - 4.7,3.3 - 6.0
"WA, King",53033,WA,Washington,King,3.8,3.1 - 4.5,3.3 - 6.0
"CO, Broomfield",08014,CO,Colorado,Broomfield,3.9,3.1 - 4.7,3.3 - 6.0
"CO, Pitkin",08097,CO,Colorado,Pitkin,3.9,3.1 - 4.8,3.3 - 6.0
"GA, Forsyth",13117,GA,Georgia,Forsyth,3.9,3.1 - 4.9,3.3 - 6.0
"MN, Hennepin",27053,MN,Minnesota,Hennepin,3.9,3.1 - 4.7,3.3 - 6.0
"MN, Scott",27139,MN,Minnesota,Scott,3.9,3.2 - 4.8,3.3 - 6.0
"NJ, Bergen",34003,NJ,New Jersey,Bergen,3.9,3.2 - 4.7,3.3 - 6.0
"UT, Summit",49043,UT,Utah,Summit,3.9,3.1 - 4.8,3.3 - 6.0
"MN, Dakota",27037,MN,Minnesota,Dakota,4.0,3.3 - 4.9,3.3 - 6.0
"NJ, Morris",34027,NJ,New Jersey,Morris,4.0,3.2 - 5.0,3.3 - 6.0
"WI, Ozaukee",55089,WI,Wisconsin,Ozaukee,4.0,3.2 - 4.9,3.3 - 6.0
"WI, Waukesha",55133,WI,Wisconsin,Waukesha,4.0,3.2 - 4.9,3.3 - 6.0
"CA, Marin",06041,CA,California,Marin,4.1,3.2 - 5.0,3.3 - 6.0
"WI, Dane",55025,WI,Wisconsin,Dane,4.1,3.3 - 5.1,3.3 - 6.0
"CA, Contra Costa",06013,CA,California,Contra Costa,4.2,3.5 - 5.1,3.3 - 6.0
"HI, Maui",15009,HI,Hawaii,Maui,4.2,3.6 - 4.9,3.3 - 6.0
"KS, Johnson",20091,KS,Kansas,Johnson,4.2,3.3 - 5.1,3.3 - 6.0
"MN, Olmsted",27109,MN,Minnesota,Olmsted,4.2,3.3 - 5.2,3.3 - 6.0
"NJ, Hunterdon",34019,NJ,New Jersey,Hunterdo,4.2,3.3 - 5.3,3.3 - 6.0
"NJ, Middlesex",34023,NJ,New Jersey,Middlese,4.2,3.5 - 5.0,3.3 - 6.0
"UT, Wasatch",49051,UT,Utah,Wasatch,4.2,3.5 - 5.1,3.3 - 6.0
"CA, Orange",06059,CA,California,Orange,4.3,3.6 - 5.1,3.3 - 6.0
"GA, Oconee",13219,GA,Georgia,Oconee,4.3,3.4 - 5.4,3.3 - 6.0
"IL, Du Page",17043,IL,Illinois,DuPage,4.3,3.5 - 5.3,3.3 - 6.0
"MA, Middlesex",25017,MA,Massachusetts,Middlesex,4.3,3.5 - 5.4,3.3 - 6.0
"NE, Sarpy",31153,NE,Nebraska,Sarpy,4.3,3.6 - 5.2,3.3 - 6.0
"NY, Nassau",36059,NY,New York,Nassau,4.3,3.6 - 5.2,3.3 - 6.0
"TX, Fort Bend",48157,TX,Texas,Fort Bend,4.3,3.6 - 5.1,3.3 - 6.0
"UT, Davis",49011,UT,Utah,Davis,4.3,3.5 - 5.3,3.3 - 6.0
"UT, Morgan",49029,UT,Utah,Morgan,4.3,3.5 - 5.2,3.3 - 6.0
"VA, Alexandria City",51510,VA,Virginia,Alexandria,4.3,3.5 - 5.3,3.3 - 6.0
"VA, Fairfax City",51600,VA,Virginia,Fairfax City,4.3,3.5 - 5.2,3.3 - 6.0
"CO, Boulder",08013,CO,Colorado,Boulder,4.4,3.6 - 5.4,3.3 - 6.0
"CO, Clear Creek",08019,CO,Colorado,Clear Creek,4.4,3.5 - 5.4,3.3 - 6.0
"CO, Ouray",08091,CO,Colorado,Ouray,4.4,3.6 - 5.4,3.3 - 6.0
"CT, Fairfield",09001,CT,Connecticut,Fairfield,4.4,3.6 - 5.4,3.3 - 6.0
"DC, Washington",11001,DC,District of Columbia,District of Columbia,4.4,3.6 - 5.3,3.3 - 6.0
"GA, Fayette",13113,GA,Georgia,Fayette,4.4,3.6 - 5.2,3.3 - 6.0
"IN, Hamilton",18057,IN,Indiana,Hamilton,4.4,3.5 - 5.4,3.3 - 6.0
"IA, Dallas",19049,IA,Iowa,Dallas,4.4,3.5 - 5.4,3.3 - 6.0
"NJ, Hudson",34017,NJ,New Jersey,Hudson,4.4,3.7 - 5.2,3.3 - 6.0
"NY, New York",36061,NY,New York,New York,4.4,3.7 - 5.3,3.3 - 6.0
"SD, Lincoln",46083,SD,South Dakota,Lincoln,4.4,3.5 - 5.4,3.3 - 6.0
"TX, Collin",48085,TX,Texas,Collin,4.4,3.7 - 5.4,3.3 - 6.0
"WY, Teton",56039,WY,Wyoming,Teton,4.4,3.5 - 5.5,3.3 - 6.0
"CA, Placer",06061,CA,California,Placer,4.5,3.7 - 5.5,3.3 - 6.0
"CO, Mineral",08079,CO,Colorado,Mineral,4.5,3.6 - 5.6,3.3 - 6.0
"GA, Cobb",13067,GA,Georgia,Cobb,4.5,3.7 - 5.4,3.3 - 6.0
"MD, Prince Georges",24033,MD,Maryland,Prince George's,4.5,3.8 - 5.4,3.3 - 6.0
"MA, Norfolk",25021,MA,Massachusetts,Norfolk,4.5,3.6 - 5.4,3.3 - 6.0
"MN, Ramsey",27123,MN,Minnesota,Ramsey,4.5,3.7 - 5.4,3.3 - 6.0
"MN, Wright",27171,MN,Minnesota,Wright,4.5,3.7 - 5.4,3.3 - 6.0
"NJ, Monmouth",34025,NJ,New Jersey,Monmouth,4.5,3.6 - 5.5,3.3 - 6.0
"NY, Westchester",36119,NY,New York,Westchester,4.5,3.7 - 5.4,3.3 - 6.0
"NC, Wake",37183,NC,North Carolina,Wake,4.5,3.6 - 5.5,3.3 - 6.0
"OR, Washington",41067,OR,Oregon,Washington,4.5,3.7 - 5.5,3.3 - 6.0
"PA, Chester",42029,PA,Pennsylvania,Chester,4.5,3.6 - 5.5,3.3 - 6.0
"UT, Utah",49049,UT,Utah,Utah,4.5,3.7 - 5.4,3.3 - 6.0
"WI, St Croix",55109,WI,Wisconsin,St. Croix,4.5,3.5 - 5.4,3.3 - 6.0
"CO, Denver",08031,CO,Colorado,Denver,4.6,3.7 - 5.6,3.3 - 6.0
"CT, Middlesex",09007,CT,Connecticut,Middlesex,4.6,3.7 - 5.5,3.3 - 6.0
"GA, Fulton",13121,GA,Georgia,Fulton,4.6,3.8 - 5.5,3.3 - 6.0
"HI, Kauai",15007,HI,Hawaii,Kauai,4.6,3.9 - 5.3,3.3 - 6.0
"MD, Frederick",24021,MD,Maryland,Frederick,4.6,3.7 - 5.6,3.3 - 6.0
"MA, Nantucket",25019,MA,Massachusetts,Nantucket,4.6,3.7 - 5.6,3.3 - 6.0
"MN, Cook",27031,MN,Minnesota,Cook,4.6,3.7 - 5.6,3.3 - 6.0
"MN, Dodge",27039,MN,Minnesota,Dodge,4.6,3.8 - 5.6,3.3 - 6.0
"MN, Sherburne",27141,MN,Minnesota,Sherburne,4.6,3.8 - 5.6,3.3 - 6.0
"MT, Gallatin",30031,MT,Montana,Gallatin,4.6,3.7 - 5.6,3.3 - 6.0
"NM, Santa Fe",35049,NM,New Mexico,Santa Fe,4.6,3.8 - 5.6,3.3 - 6.0
"ND, Cass",38017,ND,North Dakota,Cass,4.6,3.7 - 5.6,3.3 - 6.0
"PA, Montgomery",42091,PA,Pennsylvania,Montgomery,4.6,3.7 - 5.6,3.3 - 6.0
"TN, Williamson",47187,TN,Tennessee,Williamson,4.6,3.7 - 5.6,3.3 - 6.0
"TX, Loving",48301,TX,Texas,Loving,4.6,3.5 - 5.8,3.3 - 6.0
"WI, Washington",55131,WI,Wisconsin,Washington,4.6,3.7 - 5.7,3.3 - 6.0
"AK, Aleutians West",02016,AK,Alaska,Aleutians West,4.7,4.0 - 5.4,3.3 - 6.0
"CA, Los Angeles",06037,CA,California,Los Angeles,4.7,4.0 - 5.5,3.3 - 6.0
"CA, San Benito",06069,CA,California,San Benito,4.7,3.9 - 5.6,3.3 - 6.0
"CA, San Diego",06073,CA,California,San Diego,4.7,3.9 - 5.6,3.3 - 6.0
"CO, Eagle",08037,CO,Colorado,Eagle,4.7,3.8 - 5.9,3.3 - 6.0
"CO, Gilpin",08047,CO,Colorado,Gilpin,4.7,3.7 - 5.8,3.3 - 6.0
"CO, Jefferson",08059,CO,Colorado,Jefferson,4.7,3.8 - 5.8,3.3 - 6.0
"CO, Routt",08107,CO,Colorado,Routt,4.7,3.7 - 5.8,3.3 - 6.0
"CO, San Miguel",08113,CO,Colorado,San Miguel,4.7,3.8 - 5.7,3.3 - 6.0
"CO, Summit",08117,CO,Colorado,Summit,4.7,3.8 - 5.9,3.3 - 6.0
"HI, Kalawao",15005,,Hawaii,Kalawao,4.7,3.9 - 5.7,3.3 - 6.0
"ID, Ada",16001,ID,Idaho,Ada,4.7,3.9 - 5.6,3.3 - 6.0
"IL, Kendall",17093,IL,Illinois,Kendall,4.7,3.9 - 5.7,3.3 - 6.0
"MD, Anne Arundel",24003,MD,Maryland,Anne Arundel,4.7,3.9 - 5.5,3.3 - 6.0
"MI, Oakland",26125,MI,Michigan,Oakland,4.7,3.8 - 5.7,3.3 - 6.0
"MN, Anoka",27003,MN,Minnesota,Anoka,4.7,3.9 - 5.7,3.3 - 6.0
"NE, Hamilton",31081,NE,Nebraska,Hamilton,4.7,3.9 - 5.7,3.3 - 6.0
"NJ, Union",34039,NJ,New Jersey,Union,4.7,3.9 - 5.6,3.3 - 6.0
"NY, Queens",36081,NY,New York,Queens,4.7,4.0 - 5.4,3.3 - 6.0
"ND, Burleigh",38015,ND,North Dakota,Burleigh,4.7,3.8 - 5.7,3.3 - 6.0
"OH, Delaware",39041,OH,Ohio,Delaware,4.7,3.8 - 5.8,3.3 - 6.0
"RI, Newport",44005,RI,Rhode Island,Newport,4.7,3.7 - 5.8,3.3 - 6.0
"SD, Union",46127,SD,South Dakota,Union,4.7,3.8 - 5.7,3.3 - 6.0
"TX, Travis",48453,TX,Texas,Travis,4.7,3.9 - 5.7,3.3 - 6.0
"VA, York",51199,VA,Virginia,York,4.7,3.8 - 5.6,3.3 - 6.0
"WA, Snohomish",53061,WA,Washington,Snohomish,4.7,3.9 - 5.7,3.3 - 6.0
"CA, Napa",06055,CA,California,Napa,4.8,3.9 - 5.7,3.3 - 6.0
"CA, Solano",06095,CA,California,Solano,4.8,4.0 - 5.7,3.3 - 6.0
"CA, Ventura",06111,CA,California,Ventura,4.8,4.0 - 5.8,3.3 - 6.0
"CO, Hinsdale",08053,CO,Colorado,Hinsdale,4.8,3.8 - 6.0,3.3 - 6.0
"CO, Lake",08065,CO,Colorado,Lake,4.8,4.0 - 5.9,3.3 - 6.0
"IL, Lake",17097,IL,Illinois,Lake,4.8,3.9 - 5.9,3.3 - 6.0
"MN, Nicollet",27103,MN,Minnesota,Nicollet,4.8,4.0 - 5.8,3.3 - 6.0
"NE, Washington",31177,NE,Nebraska,Washington,4.8,3.9 - 5.8,3.3 - 6.0
"NJ, Mercer",34021,NJ,New Jersey,Mercer,4.8,3.9 - 5.7,3.3 - 6.0
"NJ, Sussex",34037,NJ,New Jersey,Sussex,4.8,3.9 - 5.9,3.3 - 6.0
"NC, Orange",37135,NC,North Carolina,Orange,4.8,3.9 - 5.8,3.3 - 6.0
"RI, Bristol",44001,RI,Rhode Island,Bristol,4.8,3.8 - 6.0,3.3 - 6.0
"SD, Stanley",46117,SD,South Dakota,Stanley,4.8,4.0 - 5.8,3.3 - 6.0
"TX, Denton",48121,TX,Texas,Denton,4.8,3.9 - 5.8,3.3 - 6.0
"TX, Rockwall",48397,TX,Texas,Rockwall,4.8,3.9 - 5.9,3.3 - 6.0
"TX, Williamson",48491,TX,Texas,Williamson,4.8,3.9 - 5.8,3.3 - 6.0
"UT, Salt Lake",49035,UT,Utah,Salt Lake,4.8,3.9 - 5.7,3.3 - 6.0
"VT, Chittenden",50007,VT,Vermont,Chittenden,4.8,3.8 - 5.9,3.3 - 6.0
"VA, Albemarle",51003,VA,Virginia,Albemarle,4.8,3.8 - 5.8,3.3 - 6.0
"VA, Prince William",51153,VA,Virginia,Prince William,4.8,4.1 - 5.7,3.3 - 6.0
"WA, San Juan",53055,WA,Washington,San Juan,4.8,3.9 - 5.9,3.3 - 6.0
"WI, Calumet",55015,WI,Wisconsin,Calumet,4.8,3.9 - 5.8,3.3 - 6.0
"WI, Outagamie",55087,WI,Wisconsin,Outagamie,4.8,3.9 - 5.8,3.3 - 6.0
"CO, Arapahoe",08005,CO,Colorado,Arapahoe,4.9,4.0 - 5.9,3.3 - 6.0
"CO, Gunnison",08051,CO,Colorado,Gunnison,4.9,4.0 - 6.0,3.3 - 6.0
"CO, Larimer",08069,CO,Colorado,Larimer,4.9,3.9 - 5.9,3.3 - 6.0
"CT, Litchfield",09005,CT,Connecticut,Litchfield,4.9,4.0 - 6.0,3.3 - 6.0
"GA, De Kalb",13089,GA,Georgia,DeKalb,4.9,4.0 - 5.8,3.3 - 6.0
"ID, Blaine",16013,ID,Idaho,Blaine,4.9,3.9 - 6.1,3.3 - 6.0
"MN, Chisago",27025,MN,Minnesota,Chisago,4.9,4.1 - 5.8,3.3 - 6.0
"MN, Houston",27055,MN,Minnesota,Houston,4.9,4.0 - 5.9,3.3 - 6.0
"MN, Wabasha",27157,MN,Minnesota,Wabasha,4.9,4.0 - 5.9,3.3 - 6.0
"MS, Madison",28089,MS,Mississippi,Madison,4.9,4.0 - 5.9,3.3 - 6.0
"NJ, Burlington",34005,NJ,New Jersey,Burlingt,4.9,4.0 - 5.9,3.3 - 6.0
"NM, Mora",35033,NM,New Mexico,Mora,4.9,4.2 - 5.7,3.3 - 6.0
"ND, Billings",38007,ND,North Dakota,Billings,4.9,4.0 - 5.9,3.3 - 6.0
"ND, Griggs",38039,ND,North Dakota,Griggs,4.9,4.0 - 6.1,3.3 - 6.0
"PA, Bucks",42017,PA,Pennsylvania,Bucks,4.9,3.9 - 6.0,3.3 - 6.0
"SD, Brookings",46011,SD,South Dakota,Brookings,4.9,3.9 - 5.9,3.3 - 6.0
"VA, James City",51095,VA,Virginia,James City,4.9,4.0 - 5.9,3.3 - 6.0
"VA, Stafford",51179,VA,Virginia,Stafford,4.9,4.0 - 5.9,3.3 - 6.0
"WI, Door",55029,WI,Wisconsin,Door,4.9,4.0 - 6.0,3.3 - 6.0
