FIREYEAR,FIRE_SIZE,FIPS_CODE,FIPS_NAME
201707,0.1,30093.0,Silver Bow County
201708,0.02,30093.0,Silver Bow County
201710,0.25,48225.0,Houston County
201702,0.6,48405.0,San Augustine County
201704,0.1,48419.0,Shelby County
201705,26.8,48403.0,Sabine County
201708,0.6,48405.0,San Augustine County
201712,25.0,48403.0,Sabine County
201708,0.1,30043.0,Jefferson County
201708,0.1,30001.0,Beaverhead County
201710,0.1,30057.0,Madison County
201705,0.1,30093.0,Silver Bow County
201707,0.1,30001.0,Beaverhead County
201711,0.1,30057.0,Madison County
201707,10.2,30005.0,Blaine County
201705,0.1,30093.0,Silver Bow County
201707,0.1,30043.0,Jefferson County
201707,0.1,30043.0,Jefferson County
201707,0.1,30001.0,Beaverhead County
201707,0.1,30001.0,Beaverhead County
201708,0.25,30001.0,Beaverhead County
201708,8.0,30001.0,Beaverhead County
201706,0.25,30001.0,Beaverhead County
201707,0.1,16049.0,Idaho County
201707,0.25,30081.0,Ravalli County
201707,0.1,16049.0,Idaho County
201705,0.5,30081.0,Ravalli County
201705,0.25,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201706,0.1,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201707,0.1,16049.0,Idaho County
201707,0.1,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201707,0.1,16049.0,Idaho County
201707,0.1,30081.0,Ravalli County
201707,0.1,16049.0,Idaho County
201707,0.75,30081.0,Ravalli County
201707,0.1,16049.0,Idaho County
201707,0.1,30081.0,Ravalli County
201707,0.25,16049.0,Idaho County
201707,0.5,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201708,0.1,16049.0,Idaho County
201707,0.19,16049.0,Idaho County
201708,0.1,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201707,0.5,30081.0,Ravalli County
201707,0.25,30081.0,Ravalli County
201708,0.1,16049.0,Idaho County
201708,0.12,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201708,0.1,16049.0,Idaho County
201708,0.1,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201708,0.1,30081.0,Ravalli County
201709,0.15,30081.0,Ravalli County
201708,40.0,16049.0,Idaho County
201708,0.25,16049.0,Idaho County
201707,4.0,16049.0,Idaho County
201707,0.1,16049.0,Idaho County
201708,432.0,16049.0,Idaho County
201709,0.1,30081.0,Ravalli County
201708,4500.0,16049.0,Idaho County
201708,1.4,30081.0,Ravalli County
201707,1048.0,16049.0,Idaho County
201709,450.0,16049.0,Idaho County
201707,0.1,30081.0,Ravalli County
201709,327.0,16049.0,Idaho County
201706,1.2,30081.0,Ravalli County
201707,1.0,30081.0,Ravalli County
201707,0.1,30081.0,Ravalli County
201708,0.25,30081.0,Ravalli County
201707,0.3,16055.0,Kootenai County
201707,0.1,16017.0,Bonner County
201707,0.1,16055.0,Kootenai County
201706,0.5,16017.0,Bonner County
201708,0.2,16055.0,Kootenai County
201707,0.2,16017.0,Bonner County
201708,0.1,16017.0,Bonner County
201708,0.1,16017.0,Bonner County
201707,0.7,16017.0,Bonner County
201707,26.0,16017.0,Bonner County
201707,2.0,16079.0,Shoshone County
201707,0.3,16079.0,Shoshone County
201708,0.1,16079.0,Shoshone County
201708,0.1,16079.0,Shoshone County
201707,0.1,16079.0,Shoshone County
201707,0.5,16009.0,Benewah County
201708,0.7,16079.0,Shoshone County
201708,0.1,16079.0,Shoshone County
201707,0.1,16079.0,Shoshone County
