State,AreaID,yearmo,LOB,MEMB_CNT,AVG_AGE,PCT_F,RiskScore,TOTAL_ALLOWED_PMPM,IP_Allowed_PMPM,OP_Allowed_PMPM,PROF_Allowed_PMPM,RX_Allowed_PMPM,Other_Allowed_PMPM,MED_ADMT_CNT,FOP_WO_ED_CNT,ED_ADMT_CNT,UC_ADMT_CNT,PCP_VIST_CNT,SPEC_VIST_CNT,ALG_TST_CNT,ALG_IMT_CNT,E_TOTPOP,AREA_SQMI,E_HU,E_HH,E_UNEMP,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ
CA,CA1,201701,ADV,47530,73.38560909,0.573616663,0.560346055,$702.23 ,$257.41 ,$96.82 ,$189.98 ,$158.01 ,$0.00 ,477,31,432,590,10976,856,19,39,3302833,4208.762531,1204884,1118980,106962,286008,279602,439595,726344,216965,1787453,255366,42081,75015,61486,89451
CA,CA10,201701,ADV,59,79.94915254,0.644067797,1.089813559,"$1,062.03 ",$279.56 ,$220.76 ,$367.63 ,$194.09 ,$0.00 ,0,0,1,0,18,18,0,0,460477,4824.376542,147791,136106,18321,81345,44779,50391,143528,61208,326860,6561,10023,13317,8274,5426
CA,CA11,201701,ADV,13,74.69230769,0.615384615,1.091538462,$442.88 ,$0.00 ,$155.79 ,$178.68 ,$108.41 ,$0.00 ,0,0,1,0,4,7,0,0,150075,1390.308446,45792,42735,4855,24270,10946,14567,40935,13829,101017,2919,1938,3483,2730,14912
CA,CA12,201701,ADV,120,76.975,0.583333333,1.1961,"$1,522.07 ",$657.33 ,$167.66 ,$403.83 ,$293.26 ,$0.00 ,1,0,2,2,29,39,0,0,978130,5958.095977,328577,304624,41276,147389,92035,114438,279979,108140,686675,23756,12508,28262,25805,16750
CA,CA13,201701,ADV,129,76.88372093,0.410852713,1.12803876,"$1,472.71 ",$564.38 ,$160.81 ,$358.47 ,$389.05 ,$0.00 ,2,0,10,0,26,26,0,1,342954,21389.49918,163854,119622,10594,41422,24903,67475,74845,21273,143965,5802,14241,5844,5879,17935
CA,CA14,201701,ADV,1671,72.9293836,0.55176541,1.010056254,"$1,018.01 ",$231.82 ,$320.87 ,$251.86 ,$213.46 ,$0.00 ,12,5,38,3,409,193,2,4,2255381,3124.860076,789873,749021,60919,189668,113096,295103,502048,188257,1461149,154299,25948,59669,38303,48904
CA,CA15,201701,ADV,40,77,0.55,1.364125,$542.00 ,$0.00 ,$95.77 ,$286.11 ,$160.12 ,$0.00 ,0,0,0,1,17,8,0,0,269075,1935.645521,84795,79606,14912,48433,23145,29320,80062,34066,193067,3236,5216,7611,5801,5926
CA,CA16,201701,ADV,946,77.53911205,0.599365751,1.100344609,"$1,147.52 ",$306.28 ,$182.60 ,$388.63 ,$270.02 ,$0.00 ,13,1,25,10,219,286,0,7,4673221,2470.336258,1796567,1692047,128698,373438,232541,689629,936866,360315,2804353,396804,19220,110888,205390,80356
CA,CA17,201701,ADV,337,75.98516321,0.572700297,1.043,$834.24 ,$137.05 ,$203.39 ,$252.02 ,$241.78 ,$0.00 ,4,0,12,4,98,63,0,1,539301,1496.015066,181213,172682,26130,73664,35012,67770,146907,48530,309505,12059,7723,11489,11100,5269
CA,CA18,201701,ADV,82,76.08536585,0.609756098,1.309414634,$904.65 ,$108.01 ,$209.41 ,$430.01 ,$157.23 ,$0.00 ,1,0,3,1,23,21,0,0,732212,1392.385418,241055,226727,28989,96905,53972,89461,201506,62038,494325,20238,8143,16525,14450,15994
CA,CA19,201701,ADV,332,77.05120482,0.584337349,1.086668675,$789.52 ,$105.45 ,$146.62 ,$337.40 ,$200.05 ,$0.00 ,2,0,5,3,92,81,0,1,2291738,5095.099057,896341,819372,75758,168734,134416,335498,532415,114749,1083594,101802,25772,34828,51388,38576
CA,CA2,201701,ADV,29,73.86206897,0.379310345,0.771034483,"$1,092.92 ",$569.82 ,$8.90 ,$312.16 ,$202.04 ,$0.00 ,1,0,0,1,9,2,0,0,180216,4176.578436,57468,44057,10782,33928,15883,22446,51676,34263,160443,3448,6076,4616,3242,9708
CA,CA20,201701,ADV,49,74.73469388,0.653061225,1.215020408,"$1,277.95 ",$577.05 ,$226.43 ,$343.15 ,$131.31 ,$0.00 ,1,1,1,2,12,4,0,0,438530,821.7515515,156896,149067,15346,36031,23696,64390,98813,20223,269660,13520,4468,7695,7541,10444
CA,CA21,201701,ADV,106,77.77358491,0.556603774,1.132481132,$990.55 ,$266.49 ,$168.98 ,$367.68 ,$187.40 ,$0.00 ,1,0,7,5,26,30,0,0,641847,2324.181643,263188,238371,17271,57501,43401,116457,130712,38050,249451,23427,13544,12933,11677,12597
CA,CA22,201701,ADV,15,75.73333333,0.6,0.818666667,$733.94 ,$429.49 ,$23.41 ,$149.27 ,$131.78 ,$0.00 ,1,0,1,0,5,2,0,0,171365,1234.545845,62685,58539,6792,22175,14964,23303,45990,13426,84511,4555,4913,3992,3786,2411
CA,CA23,201701,ADV,68,74.48529412,0.397058824,1.051485294,$815.76 ,$430.48 ,$152.03 ,$179.46 ,$53.79 ,$0.00 ,1,0,1,0,4,9,0,0,151906,9005.172163,84579,59685,4117,9269,9764,35175,25619,1701,28770,2723,7154,1011,2769,11716
CA,CA24,201701,ADV,221,77.92760181,0.583710407,0.991380091,"$1,083.17 ",$432.88 ,$126.40 ,$272.48 ,$251.41 ,$0.00 ,1,0,10,1,54,48,0,1,428006,8864.022501,193696,163983,16804,39396,35478,79271,91192,17615,138500,10651,26639,6204,11021,9809
CA,CA25,201701,ADV,99,77.92929293,0.454545455,1.018323232,"$1,516.83 ",$715.23 ,$181.59 ,$344.26 ,$275.74 ,$0.00 ,4,0,7,0,30,18,0,1,470990,24672.40534,218386,187277,15591,36021,38019,90963,98766,8104,114440,8163,28551,6986,13481,12724
CA,CA3,201701,ADV,7853,76.03590984,0.595568573,0.450386222,$508.74 ,$134.47 ,$58.89 ,$95.32 ,$220.06 ,$0.00 ,32,1,92,21,388,301,2,10,4518699,27266.44488,1549773,1348982,180356,553160,432652,561952,1186660,340581,3038969,129608,113905,106066,62893,91930
CA,CA4,201701,ADV,8058,74.592827,0.56341524,0.665493795,$752.68 ,$214.02 ,$74.94 ,$199.86 ,$263.86 ,$0.00 ,49,2,102,32,1009,1215,4,19,13262234,4850.972611,4615697,4338482,441609,1781058,1352330,1739765,2957709,1601964,9307146,1149887,86507,469799,343744,220875
CA,CA5,201701,ADV,268,75.67164179,0.597014925,1.135776119,"$1,138.73 ",$338.19 ,$83.26 ,$416.10 ,$301.18 ,$0.00 ,2,0,6,1,64,67,0,2,848112,1842.466511,287498,271226,25853,88185,78474,123435,199599,77382,459811,31090,10988,17892,11400,12601
CA,,201701,ADV,90,78.66666667,0.633333333,1.217666667,"$1,188.43 ",$79.55 ,$286.01 ,$402.19 ,$420.68 ,$0.00 ,2,0,5,0,29,30,0,0,443738,2735.137621,156210,144962,13861,52042,46478,64775,99117,45552,244382,21169,6950,15410,8052,19863
CA,CA7,201701,ADV,2154,71.87836583,0.551532033,0.259189415,$203.29 ,$14.37 ,$5.87 ,$31.11 ,$151.94 ,$0.00 ,1,0,2,1,27,17,0,1,883053,8132.256436,295756,267913,39056,139584,77216,92005,257750,84735,576023,15490,21557,24792,18281,31126
CA,CA8,201701,ADV,91,77.69230769,0.593406593,0.942461539,$587.25 ,$0.00 ,$170.91 ,$238.43 ,$177.91 ,$0.00 ,0,0,4,3,17,22,0,0,281455,3300.636162,121095,105317,6175,17123,20715,52758,50492,9045,86881,7329,9630,3482,4557,16435
