FIRE_YEAR,DISCOVERY_DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,FIPS_CODE,FIPS_NAME
2017,2017/07/26 00:00:00+00,45.82472222,-112.52111111,0.1,A,30093.0,Silver Bow County
2017,2017/08/24 00:00:00+00,45.0,-112.0,0.02,A,30093.0,Silver Bow County
2017,2017/10/16 00:00:00+00,31.45666667,-95.26666667,0.25,A,48225.0,Houston County
2017,2017/02/23 00:00:00+00,31.28,-94.29055556,0.6,B,48405.0,San Augustine County
2017,2017/04/27 00:00:00+00,31.62472222,-93.88472222,0.1,A,48419.0,Shelby County
2017,2017/05/11 00:00:00+00,31.2825,-93.89583333,26.8,C,48403.0,Sabine County
2017,2017/08/12 00:00:00+00,31.17555556,-94.13277778,0.6,B,48405.0,San Augustine County
2017,2017/12/04 00:00:00+00,31.54805556,-93.87361111,25.0,C,48403.0,Sabine County
2017,2017/08/14 00:00:00+00,45.93583333,-112.28888889,0.1,A,30043.0,Jefferson County
2017,2017/08/25 00:00:00+00,45.68666667,-113.11083333,0.1,A,30001.0,Beaverhead County
2017,2017/10/24 00:00:00+00,44.97361111,-112.04888889,0.1,A,30057.0,Madison County
2017,2017/05/30 00:00:00+00,45.86944444,-112.45277778,0.1,A,30093.0,Silver Bow County
2017,2017/07/10 00:00:00+00,44.82638889,-113.02472222,0.1,A,30001.0,Beaverhead County
2017,2017/11/14 00:00:00+00,44.79861111,-111.59861111,0.1,A,30057.0,Madison County
2017,2017/07/31 00:00:00+00,45.56527778,-113.80833333,10.2,C,30005.0,Blaine County
2017,2017/05/08 00:00:00+00,45.84138889,-113.03416667,0.1,A,30093.0,Silver Bow County
2017,2017/07/10 00:00:00+00,46.26083333,-111.9775,0.1,A,30043.0,Jefferson County
2017,2017/07/20 00:00:00+00,45.94333333,-112.2375,0.1,A,30043.0,Jefferson County
2017,2017/07/03 00:00:00+00,44.89472222,-113.12055556,0.1,A,30001.0,Beaverhead County
2017,2017/07/26 00:00:00+00,46.64027778,-113.08666667,0.1,A,30001.0,Beaverhead County
2017,2017/08/24 00:00:00+00,45.69694444,-113.08388889,0.25,A,30001.0,Beaverhead County
2017,2017/08/27 00:00:00+00,45.0,-113.0,8.0,B,30001.0,Beaverhead County
2017,2017/06/21 00:00:00+00,45.43,-112.72111111,0.25,A,30001.0,Beaverhead County
2017,2017/07/28 00:00:00+00,45.80861111,-114.6975,0.1,A,16049.0,Idaho County
2017,2017/07/27 00:00:00+00,45.65027778,-114.03055556,0.25,A,30081.0,Ravalli County
2017,2017/07/28 00:00:00+00,45.87666667,-114.83305556,0.1,A,16049.0,Idaho County
2017,2017/05/04 00:00:00+00,45.74722222,-114.45083333,0.5,B,30081.0,Ravalli County
2017,2017/05/15 00:00:00+00,46.29,-113.95,0.25,A,30081.0,Ravalli County
2017,2017/07/09 00:00:00+00,46.07638889,-114.25333333,0.1,A,30081.0,Ravalli County
2017,2017/06/26 00:00:00+00,45.89166667,-113.9825,0.1,A,30081.0,Ravalli County
2017,2017/07/09 00:00:00+00,45.845,-114.07361111,0.1,A,30081.0,Ravalli County
2017,2017/07/10 00:00:00+00,45.63055556,-114.2375,0.1,A,30081.0,Ravalli County
2017,2017/07/14 00:00:00+00,45.89416667,-114.24333333,0.1,A,30081.0,Ravalli County
2017,2017/07/14 00:00:00+00,45.7,-114.735,0.1,A,16049.0,Idaho County
2017,2017/07/14 00:00:00+00,45.845,-113.99166667,0.1,A,30081.0,Ravalli County
2017,2017/07/15 00:00:00+00,46.34166667,-114.24388889,0.1,A,30081.0,Ravalli County
2017,2017/07/14 00:00:00+00,45.80527778,-114.70666667,0.1,A,16049.0,Idaho County
2017,2017/07/15 00:00:00+00,46.59222222,-113.86638889,0.1,A,30081.0,Ravalli County
2017,2017/07/14 00:00:00+00,45.8425,-114.76388889,0.1,A,16049.0,Idaho County
2017,2017/07/09 00:00:00+00,45.83222222,-114.28888889,0.75,B,30081.0,Ravalli County
2017,2017/07/14 00:00:00+00,45.64666667,-114.62833333,0.1,A,16049.0,Idaho County
2017,2017/07/10 00:00:00+00,45.94638889,-113.97166667,0.1,A,30081.0,Ravalli County
2017,2017/07/24 00:00:00+00,45.79361111,-114.69166667,0.25,A,16049.0,Idaho County
2017,2017/07/19 00:00:00+00,46.12833333,-114.055,0.5,B,30081.0,Ravalli County
2017,2017/07/28 00:00:00+00,45.69138889,-114.28666667,0.1,A,30081.0,Ravalli County
2017,2017/07/26 00:00:00+00,45.56583333,-114.26388889,0.1,A,30081.0,Ravalli County
